date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:27	38626/38626	---M-Z	200	added ('OK')	application/javascript	etag:%2296e2-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-il-chicago-mill-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-il-chicago-mill-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:27	62840/62840	---M-Z	200	added ('OK')	application/javascript	etag:%22f578-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-uk-mill-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-uk-mill-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:28	125547/125547	---M-Z	200	added ('OK')	application/javascript	etag:%221ea6b-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-ca-lcc-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-ca-lcc-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:28	142484/142484	---M-Z	200	added ('OK')	application/javascript	etag:%2222c94-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-europe-mill-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-europe-mill-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:28	68168/68168	---M-Z	200	added ('OK')	application/javascript	etag:%2210a48-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-fr-merc-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-fr-merc-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:28	65603/65603	---M-Z	200	added ('OK')	application/javascript	etag:%2210043-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-es-merc.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-es-merc.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:29	73798/73798	---M-Z	200	added ('OK')	application/javascript	etag:%2212046-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-es-mill.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-es-mill.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:29	2691/2691	---M-Z	200	added ('OK')	application/javascript	etag:%22a83-5e1506f2a7bcf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/vector-maps.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/vector-maps.init.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:29	35973/35973	---M-Z	200	added ('OK')	application/javascript	etag:%228c85-5e1506f2ccd8f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/jquery.mapael.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/jquery.mapael.min.js	(from https://coderthemes.com/ubold/layouts/creative/maps-mapael.html)
15:22:30	166542/166542	---MCZ	200	added ('OK')	application/javascript	etag:%2228a8e-5e1506f2cdd2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/maps/world_countries.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/maps/world_countries.min.js	(from https://coderthemes.com/ubold/layouts/creative/maps-mapael.html)
15:22:30	60834/60834	---M-Z	200	added ('OK')	application/javascript	etag:%22eda2-5e1506f2cdd2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/maps/usa_states.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jquery-mapael/js/maps/usa_states.min.js	(from https://coderthemes.com/ubold/layouts/creative/maps-mapael.html)
15:22:30	4000/4000	---M-Z	200	added ('OK')	application/javascript	etag:%22fa0-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/mapeal-maps.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/mapeal-maps.init.js	(from https://coderthemes.com/ubold/layouts/creative/maps-mapael.html)
